CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,failed_transactions_last_30_days,Churn Risk Probability,Churn Risk (%),Risk Tier
701,France,Female,67,6,206452.78322727705,1,0,1,77618.37651447035,0,1,0.06,6.0,Low Risk
461,Spain,Female,24,10,44151.34737611273,2,0,0,5027.750774038813,0,2,0.16,16.0,Low Risk
501,France,Male,45,9,34703.68918754624,2,0,1,89536.75182493862,0,2,0.0,0.0,Low Risk
569,Spain,Male,27,5,162323.28251197154,1,0,0,131798.47795274097,0,2,0.04,4.0,Low Risk
570,Spain,Male,44,0,227327.5339524588,4,1,1,60064.36732449705,0,0,0.0,0.0,Low Risk
755,Germany,Male,30,6,28634.113739996275,4,1,1,68494.02796197127,0,0,0.0,0.0,Low Risk
761,France,Male,83,5,147313.4914162305,1,0,0,94469.95868124816,1,4,1.0,100.0,High Risk
551,Spain,Male,77,3,21234.87285449624,3,0,0,98988.60180603122,1,2,0.7,70.0,Medium Risk
595,France,Female,60,7,203040.73600297156,2,0,0,148575.53282990877,0,3,0.39,39.0,Low Risk
637,Germany,Female,86,6,227326.47839292564,4,1,1,99957.24999907188,1,8,0.99,99.0,High Risk
352,France,Female,80,7,157198.57580610836,3,0,1,169056.48987078454,0,0,0.01,1.0,Low Risk
516,Germany,Female,87,8,172085.77563531994,1,0,0,96560.47890868117,0,0,0.03,3.0,Low Risk
487,France,Female,82,0,13859.11615300564,1,1,0,6392.065230533626,1,4,0.99,99.0,High Risk
679,France,Male,84,2,18244.296721520725,4,0,0,28289.809048244064,1,6,0.96,96.0,High Risk
792,Germany,Male,71,1,44917.638998180024,4,0,0,143635.17678629255,0,1,0.04,4.0,Low Risk
340,Spain,Female,53,2,68457.11683296932,1,1,0,90377.82650319191,0,0,0.0,0.0,Low Risk
456,Spain,Male,88,10,189964.02920996348,4,0,0,92248.87448871996,1,4,0.99,99.0,High Risk
314,Spain,Female,32,10,108857.31175322476,4,0,0,195601.58059300095,0,0,0.03,3.0,Low Risk
364,France,Female,35,1,19562.42168667413,4,1,0,114296.60410048538,0,1,0.01,1.0,Low Risk
820,France,Male,21,10,213161.26557117113,1,0,0,23392.899709881716,0,1,0.0,0.0,Low Risk
643,Spain,Male,28,5,248456.67564424028,2,1,0,86756.53832322403,0,0,0.0,0.0,Low Risk
428,France,Female,23,8,113756.573176265,3,1,1,112269.44527841946,0,1,0.01,1.0,Low Risk
771,France,Female,68,1,127941.00139389286,2,1,0,7502.751643382532,0,1,0.03,3.0,Low Risk
362,Spain,Female,75,3,19627.359800241273,1,0,1,72928.32487537066,0,0,0.0,0.0,Low Risk
438,Germany,Female,77,4,95754.35772182442,3,1,1,193563.94820212063,0,3,0.28,28.0,Low Risk
798,France,Male,35,4,92951.08997252912,1,1,1,150263.13123791685,0,1,0.0,0.0,Low Risk
691,France,Female,84,0,241447.8782453894,2,0,1,74436.79200304515,1,7,0.99,99.0,High Risk
718,France,Male,34,5,165107.87729006584,1,0,1,52429.73265489756,0,0,0.0,0.0,Low Risk
588,France,Female,51,4,195545.79006173037,4,0,1,56637.64791974752,1,6,0.99,99.0,High Risk
678,Germany,Female,47,5,32083.01264952232,4,1,1,165684.62632347678,0,0,0.0,0.0,Low Risk
789,Spain,Male,36,3,104231.72043566966,2,0,0,80331.3794508437,0,1,0.01,1.0,Low Risk
530,France,Male,26,10,47888.20057680768,4,0,0,168636.53351303196,0,2,0.02,2.0,Low Risk
340,Spain,Male,57,5,215047.2445710345,2,1,1,181749.64355453855,0,1,0.0,0.0,Low Risk
327,France,Male,61,8,38093.09381445014,1,1,1,92845.19237892664,0,0,0.01,1.0,Low Risk
434,Germany,Male,76,0,109717.8047507148,1,1,1,189055.0328246498,0,1,0.12,12.0,Low Risk
500,Spain,Female,42,5,13412.57043843852,2,0,1,59997.27863254212,0,0,0.0,0.0,Low Risk
332,Germany,Female,88,0,158573.5735501096,3,1,1,52011.517643924955,1,5,0.97,97.0,High Risk
347,France,Female,70,6,120481.18748694022,2,0,0,21469.321999241845,0,1,0.03,3.0,Low Risk
802,Germany,Male,65,3,124491.69311002786,3,1,1,49168.35567002815,0,2,0.25,25.0,Low Risk
706,Germany,Male,88,5,25404.727647944077,2,0,1,154533.01158239413,1,6,1.0,100.0,High Risk
398,France,Male,70,6,128495.2963042672,1,1,0,80763.48692440943,0,0,0.01,1.0,Low Risk
846,France,Female,66,10,140945.87269563891,4,1,1,29641.094467688345,0,0,0.02,2.0,Low Risk
761,Spain,Male,60,4,240710.02166933307,2,0,1,21415.23137126653,0,2,0.11,11.0,Low Risk
304,France,Female,36,8,8305.670821376621,3,1,1,98053.43492137136,0,0,0.01,1.0,Low Risk
517,Spain,Female,83,7,230678.4023728908,4,1,0,107875.49029352715,1,3,0.95,95.0,High Risk
802,Germany,Female,51,2,119891.11448289616,3,1,1,158913.05511911164,1,3,0.85,85.0,High Risk
697,Germany,Male,90,0,52528.63137274355,3,1,0,142964.4691776492,0,0,0.02,2.0,Low Risk
692,Spain,Female,71,10,166386.5207378063,3,1,0,33431.321440482374,0,0,0.01,1.0,Low Risk
506,France,Female,18,9,129263.05431323992,3,0,0,55384.6655552888,0,0,0.01,1.0,Low Risk
314,France,Female,72,7,56688.75410743204,2,1,1,138755.90559919254,0,1,0.03,3.0,Low Risk
760,Germany,Male,32,3,156706.7114588918,4,1,1,36122.75193714291,0,0,0.01,1.0,Low Risk
540,Spain,Female,32,6,118315.56879621957,4,1,1,160646.8328214831,0,0,0.0,0.0,Low Risk
395,Germany,Male,40,3,172253.6545904884,4,1,1,131474.94903142928,1,4,0.98,98.0,High Risk
784,Germany,Male,83,6,172269.23203234814,4,0,0,107273.09933159807,0,0,0.01,1.0,Low Risk
706,France,Female,63,0,118203.82975272606,1,0,0,128854.693798819,1,6,0.99,99.0,High Risk
530,Spain,Female,26,0,97699.0527304104,1,0,1,19952.13221594971,0,0,0.02,2.0,Low Risk
470,Germany,Male,83,1,15811.060356754391,2,0,1,109608.9280647704,1,7,1.0,100.0,High Risk
840,France,Female,83,4,123461.64949021072,4,0,1,90265.4361619468,0,1,0.02,2.0,Low Risk
335,Germany,Male,35,10,60778.75727210702,1,0,0,102597.86288914602,0,0,0.01,1.0,Low Risk
824,Germany,Male,34,9,13311.86615641286,4,1,1,67540.01551541987,0,1,0.02,2.0,Low Risk
459,France,Male,89,5,82595.05760935882,2,1,0,93640.70801365032,0,0,0.0,0.0,Low Risk
542,France,Female,51,1,21867.254681951275,3,1,1,176651.11875134282,0,0,0.01,1.0,Low Risk
385,Spain,Male,86,0,144935.45573214223,2,1,1,68977.27325580094,0,2,0.08,8.0,Low Risk
327,Germany,Male,81,8,125917.26617826914,1,0,0,8996.674285411562,0,1,0.02,2.0,Low Risk
639,Spain,Female,61,6,198107.2493490219,1,0,0,51303.75009075518,0,3,0.27,27.0,Low Risk
630,France,Female,46,7,66908.38590981241,1,0,0,90878.1689304852,0,0,0.0,0.0,Low Risk
805,France,Male,79,5,92882.26636750068,2,0,0,106702.777425735,0,0,0.03,3.0,Low Risk
647,Germany,Male,33,8,172237.59715960157,2,0,0,85435.33428721435,1,0,0.64,64.0,Medium Risk
772,Spain,Male,69,7,248236.13005787783,2,0,1,165324.1640457084,0,0,0.0,0.0,Low Risk
530,Spain,Female,19,3,226042.43936161365,4,0,1,183035.43184811829,0,1,0.0,0.0,Low Risk
489,Germany,Male,78,4,130206.22461086948,1,1,0,97365.2787779864,0,1,0.03,3.0,Low Risk
524,Germany,Male,21,1,169486.82396665346,2,0,1,15185.198691943258,0,0,0.01,1.0,Low Risk
684,Spain,Female,69,0,132980.58164399478,2,0,0,84203.25639184406,0,1,0.04,4.0,Low Risk
676,France,Female,58,5,108701.38297611556,4,1,0,36255.97541535596,1,2,0.2,20.0,Low Risk
582,France,Male,69,2,150574.42238457408,1,0,1,56706.4451948407,0,1,0.03,3.0,Low Risk
558,Germany,Female,48,10,96624.80633139268,3,1,1,166581.54793886188,0,1,0.07,7.0,Low Risk
658,Spain,Male,43,3,70047.08893526517,3,0,0,107063.02657639324,0,0,0.01,1.0,Low Risk
755,Spain,Male,44,0,176418.47570042117,1,1,0,165720.05661103598,0,0,0.0,0.0,Low Risk
710,Spain,Female,68,5,217993.3532201741,4,1,1,197125.4165769577,1,5,0.98,98.0,High Risk
617,France,Male,65,7,72006.07651266214,1,0,1,109050.29131611472,0,1,0.01,1.0,Low Risk
524,France,Male,28,9,176722.9044347218,3,1,1,182453.3300549277,0,1,0.0,0.0,Low Risk
533,Spain,Female,25,3,108504.75092281267,2,1,0,136696.35938644313,0,1,0.01,1.0,Low Risk
673,Spain,Male,29,9,75521.25929614514,1,1,0,20372.68037701226,0,0,0.01,1.0,Low Risk
771,Germany,Female,62,7,155277.7446357968,3,1,0,83585.6023891983,1,2,0.65,65.0,Medium Risk
532,Germany,Male,51,10,234853.6155610384,2,0,0,131791.38703507447,0,2,0.14,14.0,Low Risk
412,Spain,Female,89,9,87922.8703316885,1,1,0,141055.27781427788,0,0,0.0,0.0,Low Risk
796,Spain,Female,64,2,189869.8255449302,4,1,0,172134.58915863305,0,0,0.01,1.0,Low Risk
741,France,Female,38,10,78674.52061931592,3,0,1,127461.88677467556,0,0,0.0,0.0,Low Risk
567,Spain,Female,58,6,200967.095295402,2,0,1,18027.85959964016,1,9,0.97,97.0,High Risk
809,Germany,Female,39,2,189996.18109855897,2,1,1,28497.1744883091,0,0,0.0,0.0,Low Risk
685,France,Female,38,5,191408.19290627315,4,1,1,65671.14362802869,0,0,0.0,0.0,Low Risk
686,Germany,Male,45,3,249427.0170004767,3,0,0,58815.80417582111,1,4,0.98,98.0,High Risk
412,Germany,Male,84,5,35129.39295160361,2,0,1,44328.855858729024,0,0,0.0,0.0,Low Risk
380,France,Female,88,6,97209.8082806737,4,1,0,123463.06739894288,0,1,0.05,5.0,Low Risk
412,Germany,Male,31,7,157703.0416646039,3,0,0,85947.71773833735,0,0,0.0,0.0,Low Risk
301,Spain,Female,90,5,147618.8681108859,4,1,1,137000.90630123598,1,6,0.97,97.0,High Risk
519,Germany,Female,69,3,195158.27115155343,4,1,1,77399.92593950157,1,3,0.92,92.0,High Risk
524,France,Male,60,8,11727.395436469167,4,0,0,54823.63295461473,1,3,0.92,92.0,High Risk
684,France,Female,88,6,176262.79219357032,4,1,1,110098.72997319156,1,10,1.0,100.0,High Risk
702,France,Male,36,8,184430.98915558492,3,0,0,19361.046746145836,0,0,0.01,1.0,Low Risk
429,Germany,Female,44,2,15275.278987837037,4,0,1,197731.78084345764,0,0,0.0,0.0,Low Risk
352,Spain,Female,35,4,134670.58930796594,4,0,1,131129.4302823615,0,0,0.0,0.0,Low Risk
715,France,Male,30,0,61248.17612226988,2,0,0,24441.24817277482,0,0,0.0,0.0,Low Risk
546,Spain,Female,18,10,200406.81534283247,3,1,1,124485.4960818459,0,2,0.01,1.0,Low Risk
738,France,Female,51,7,12403.40154843861,3,1,0,14895.69514547699,0,0,0.01,1.0,Low Risk
502,Spain,Female,30,0,36541.036823991315,4,1,0,101250.11991576098,0,2,0.04,4.0,Low Risk
483,Spain,Male,68,0,26113.442822468165,4,1,1,58179.6971767604,0,0,0.0,0.0,Low Risk
422,Spain,Male,18,6,16304.426362896083,1,1,0,140155.58372904398,0,2,0.03,3.0,Low Risk
700,France,Male,45,10,150018.41575434274,4,0,1,97419.52831304606,0,2,0.02,2.0,Low Risk
593,Germany,Male,49,7,217136.73064038384,3,1,1,157177.1193832288,1,6,0.99,99.0,High Risk
579,Germany,Male,89,2,127743.28116613446,2,1,1,45959.3285394847,0,0,0.01,1.0,Low Risk
497,Germany,Female,72,1,52645.380478545834,3,0,1,131239.25135676394,0,3,0.73,73.0,Medium Risk
810,Spain,Male,43,6,85949.06712299291,2,0,0,137570.92663251556,0,0,0.0,0.0,Low Risk
443,France,Male,31,9,90091.55551751352,4,0,0,95508.63503448592,0,2,0.06,6.0,Low Risk
500,Spain,Female,85,4,112908.84941607398,1,0,1,171662.54881385813,1,3,0.81,81.0,High Risk
423,France,Female,80,0,105134.59148748063,2,1,1,29338.04471012357,1,5,0.98,98.0,High Risk
486,Spain,Male,31,1,167787.81309771907,3,0,0,151685.12516223878,1,4,0.99,99.0,High Risk
625,France,Female,44,2,84978.04275912751,4,1,0,26406.215924003453,0,0,0.01,1.0,Low Risk
763,France,Female,58,5,165741.3482029715,2,0,1,31389.318642617563,1,5,1.0,100.0,High Risk
648,France,Female,20,0,136693.36274876617,1,0,1,40305.40177920378,0,1,0.0,0.0,Low Risk
702,Spain,Male,76,7,12127.211762748391,1,0,1,132218.734836311,1,4,1.0,100.0,High Risk
645,Germany,Female,40,1,229918.02105411515,1,1,1,127806.11663377726,0,0,0.01,1.0,Low Risk
810,Spain,Female,35,4,44489.34839368851,4,1,0,89182.81780062294,1,7,0.99,99.0,High Risk
446,Spain,Male,91,7,112882.2139847965,2,1,1,62899.6942635763,0,0,0.0,0.0,Low Risk
447,France,Female,58,4,236899.30030709176,2,0,1,122558.29442135038,1,6,1.0,100.0,High Risk
788,France,Female,25,7,61833.30035880199,4,1,1,28846.34353687415,0,2,0.03,3.0,Low Risk
637,Germany,Male,49,5,5541.137134965152,2,0,0,125735.51770235613,0,1,0.0,0.0,Low Risk
772,Germany,Male,58,6,122512.456231853,4,1,1,2400.2481634055284,1,4,0.96,96.0,High Risk
450,France,Male,62,7,55982.79901005329,1,0,0,28902.34350134223,1,9,0.99,99.0,High Risk
714,Germany,Female,26,2,145506.8808011576,2,1,1,141588.15633955368,0,2,0.05,5.0,Low Risk
597,Germany,Male,65,4,204277.02816919275,1,1,1,174795.2670085308,0,2,0.16,16.0,Low Risk
562,France,Male,41,9,127804.97891115244,4,0,0,15129.251467008522,0,1,0.0,0.0,Low Risk
443,Spain,Female,61,6,161257.33622085192,1,0,1,127757.02540879537,0,0,0.01,1.0,Low Risk
645,Germany,Female,75,8,166538.09895685196,3,1,1,12390.557996448251,0,1,0.03,3.0,Low Risk
301,France,Female,83,5,205133.62415126717,4,1,0,175795.14009306443,0,1,0.01,1.0,Low Risk
603,Germany,Female,35,9,171981.70224460325,3,1,0,78339.07060559784,0,0,0.01,1.0,Low Risk
553,Germany,Female,46,0,244043.0379478954,4,0,0,148237.78310162108,0,0,0.0,0.0,Low Risk
752,France,Male,19,10,114052.8132723418,1,0,0,34558.701390244394,0,0,0.0,0.0,Low Risk
336,Germany,Male,85,7,12564.593381753835,1,1,1,172271.45988958172,0,0,0.03,3.0,Low Risk
459,Germany,Male,56,5,98506.72587056216,1,1,1,85839.786738494,1,7,0.99,99.0,High Risk
308,Germany,Female,90,0,209969.51066330724,3,1,0,41779.359884059464,0,0,0.01,1.0,Low Risk
532,Spain,Male,58,3,33266.91334283396,1,0,1,114494.11489876448,0,0,0.01,1.0,Low Risk
398,Spain,Female,88,5,183984.96314509923,3,0,1,57639.38993774426,0,1,0.02,2.0,Low Risk
507,Germany,Female,39,9,133915.3645730322,3,0,1,57417.17645316926,0,0,0.0,0.0,Low Risk
430,France,Male,66,0,225166.5242690968,2,0,1,22917.93101151584,0,0,0.0,0.0,Low Risk
703,Germany,Male,45,9,182797.41667955028,2,0,1,42787.37246471427,0,0,0.01,1.0,Low Risk
451,Germany,Female,33,4,165131.02764151324,2,0,1,159574.72171320274,0,1,0.0,0.0,Low Risk
353,Spain,Female,85,2,221719.4823245834,4,0,1,104720.47828962204,1,5,0.99,99.0,High Risk
419,Spain,Male,79,6,227054.9818232711,3,0,0,70994.36628458831,1,4,1.0,100.0,High Risk
719,Spain,Male,53,7,96229.1761088264,1,1,1,185875.33246906448,0,0,0.01,1.0,Low Risk
721,Germany,Female,39,2,231961.82796101327,2,1,0,159479.53948813962,0,1,0.0,0.0,Low Risk
403,Germany,Female,28,9,13674.500465704426,4,0,1,62061.33036308145,0,0,0.0,0.0,Low Risk
553,France,Female,59,2,190641.6569717116,3,0,1,22155.4029367704,0,0,0.0,0.0,Low Risk
526,Germany,Female,72,10,84132.7355289208,4,0,0,36876.51912829871,0,2,0.33,33.0,Low Risk
411,Germany,Male,90,2,121849.23639142766,1,0,0,135036.97188169,1,5,0.99,99.0,High Risk
809,Spain,Male,52,10,208937.47150353077,2,1,0,112617.70764424374,0,1,0.02,2.0,Low Risk
772,Spain,Female,74,5,159259.68096645363,3,1,0,196155.7323464828,0,0,0.01,1.0,Low Risk
398,Spain,Female,51,5,114372.75613335728,4,1,0,2708.6615935958384,0,1,0.01,1.0,Low Risk
452,Spain,Male,90,2,40983.31069580771,2,1,0,175359.88348042616,0,0,0.0,0.0,Low Risk
637,Spain,Female,87,5,234816.1988776113,2,1,1,2863.6992053472386,0,0,0.07,7.0,Low Risk
462,France,Female,21,8,83119.36913532748,3,0,1,84957.59867505346,0,0,0.0,0.0,Low Risk
460,France,Female,63,10,25290.380906702132,2,0,0,183318.57475287715,0,1,0.02,2.0,Low Risk
697,France,Female,28,7,141036.68679077935,4,0,1,131686.4976439053,1,3,0.86,86.0,High Risk
576,Spain,Female,78,10,101569.94780286426,3,0,0,116664.1009239448,0,1,0.09,9.0,Low Risk
803,Spain,Female,52,6,147627.79010932636,3,1,0,62706.7261423917,0,0,0.01,1.0,Low Risk
691,Spain,Male,86,6,58382.490591908034,2,1,0,193225.8407497012,1,5,0.97,97.0,High Risk
434,France,Female,74,7,94682.21627343008,1,1,0,33653.22901429146,0,0,0.0,0.0,Low Risk
494,Spain,Male,28,6,243127.0934290945,1,0,1,53984.80551011058,0,0,0.0,0.0,Low Risk
700,France,Male,29,2,234134.05225933265,1,1,0,90596.61652088676,0,0,0.0,0.0,Low Risk
332,Spain,Male,60,7,216095.435953765,4,0,1,25268.568133072476,0,1,0.01,1.0,Low Risk
759,Germany,Female,36,7,194780.21560226433,3,1,1,84715.21644588868,0,0,0.0,0.0,Low Risk
769,France,Female,85,0,39139.94371700091,2,1,1,7878.201658589571,0,0,0.01,1.0,Low Risk
674,Germany,Female,76,9,116732.647485776,1,1,1,184824.51192652548,1,8,0.99,99.0,High Risk
321,France,Male,19,4,181975.6964694163,2,0,0,64434.60581038485,0,1,0.0,0.0,Low Risk
337,Spain,Male,25,4,65441.89146199497,1,1,0,126764.17832253354,1,6,0.95,95.0,High Risk
529,Spain,Female,39,0,8268.553289284748,1,0,0,174106.70909346346,0,0,0.01,1.0,Low Risk
664,Germany,Female,38,5,104524.72483105256,2,0,1,163667.05804055353,1,6,1.0,100.0,High Risk
737,Spain,Male,46,5,106285.349102005,4,0,0,174679.42119973627,0,0,0.02,2.0,Low Risk
582,France,Male,54,3,16275.064355573326,2,1,0,144064.52671728178,0,0,0.0,0.0,Low Risk
326,Spain,Male,46,5,80153.89478487358,2,1,0,38756.829005944775,1,5,0.98,98.0,High Risk
525,Spain,Female,54,5,229325.01494686436,4,1,0,73316.04286279145,1,3,0.91,91.0,High Risk
576,France,Male,38,0,62574.20175940381,4,1,0,102411.22313631952,0,0,0.0,0.0,Low Risk
583,Germany,Male,29,4,142289.9543128253,2,0,1,67396.70076087379,0,1,0.02,2.0,Low Risk
780,Germany,Male,65,1,121970.4950741787,4,1,1,191047.2341094822,1,3,0.96,96.0,High Risk
752,Spain,Female,64,6,215531.4452810783,1,0,0,161369.32199925272,1,5,1.0,100.0,High Risk
815,France,Female,32,8,163387.5609369666,4,0,1,159792.34390368886,0,0,0.0,0.0,Low Risk
846,Germany,Female,84,8,39607.37370130169,2,1,1,72227.45160069101,1,7,0.98,98.0,High Risk
491,Germany,Male,30,10,35717.18171088928,4,0,1,150970.15138401376,0,0,0.0,0.0,Low Risk
348,Spain,Male,76,8,139371.80688158056,3,0,1,122814.38992836932,0,1,0.0,0.0,Low Risk
811,France,Male,90,10,11616.590588948982,4,1,0,75049.13432534391,0,0,0.05,5.0,Low Risk
316,Germany,Male,30,6,98382.73649735856,1,0,1,61662.90058827301,0,1,0.04,4.0,Low Risk
471,Spain,Female,89,6,99752.7697878748,3,1,1,157769.17458929186,0,0,0.01,1.0,Low Risk
519,Spain,Male,36,0,49083.280302417654,1,1,1,119364.03026643628,0,1,0.0,0.0,Low Risk
457,Spain,Male,74,10,75253.05233423912,1,0,1,7408.707287479833,1,4,0.96,96.0,High Risk
776,Spain,Female,49,10,82487.06035024095,3,1,0,4349.59180143222,0,1,0.07,7.0,Low Risk
345,Germany,Male,38,5,2939.6497881991336,1,0,1,168395.71313197806,0,0,0.01,1.0,Low Risk
672,France,Male,31,4,201472.85089023883,3,1,0,17972.943620815422,0,1,0.02,2.0,Low Risk
817,Spain,Male,41,7,239361.5623036709,1,1,0,103877.16011676996,0,1,0.01,1.0,Low Risk
398,Spain,Female,66,7,72316.63104224965,2,1,1,121736.67507427584,0,3,0.36,36.0,Low Risk
336,Germany,Male,49,10,27996.38941313312,1,1,0,183193.26489389892,1,2,0.78,78.0,High Risk
579,Spain,Female,28,3,238388.0357962508,3,1,0,102910.12865345745,0,1,0.0,0.0,Low Risk
648,Spain,Male,77,0,185137.75528973815,2,0,0,38813.81895011317,1,3,0.66,66.0,Medium Risk
796,France,Female,85,5,222785.60706185744,2,1,0,52141.49794993161,1,5,1.0,100.0,High Risk
601,Spain,Female,78,9,90219.03784373216,4,0,0,9780.715794891608,0,0,0.03,3.0,Low Risk
480,Germany,Female,22,0,121015.56894062633,4,1,1,44419.25364562419,0,0,0.0,0.0,Low Risk
398,France,Male,53,4,232559.9265213064,4,0,0,163029.89165589004,1,6,0.98,98.0,High Risk
